Name,id,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12,gw13,gw14,gw15,gw16,gw17,gw18,gw19,gw20,gw21,gw22,gw23,gw24,gw25,gw26,gw27,gw28,gw29,gw30,gw31,gw32,gw33,gw34,gw35,gw36,gw37,gw38,gw39,gw40,gw41,gw42,gw43,gw44,gw45,gw46,gw47,gw48,gw49
Mesut Özil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz Moreira Marinho,3,0,1,1,2,2,1,0,0,0,0,0,0,1,1,0,0,0,5,6,2,6,-3,0,1,1,8,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,4,7,5,2,2,2,2,8,2,3,2,2,0,10,0,0,3,3,3,15,0,0,1,1,20,2,1,8,0,2,2,0,0,0,12,6,0,2,3,0,1,1,9,2,7,2,9,6,2,-1
Cédric Soares,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,5,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0
Alexandre Lacazette,6,7,7,7,0,1,1,2,2,0,1,1,1,0,1,8,7,12,2,2,11,2,4,1,0,1,8,1,8,11,2,13,2,0,0,2,0,0,1,0,0,1,0,0,0,1,5,2,1,2
Shkodran Mustafi,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,8,7,2,3,2,3,2,7,2,10,2,1,2,2,1,8,6,7,6,6,3,7,-1,0,2,2,2,5,2,1,2,6,0,0,0,11,0,3,7,1,2,1,0,0,0,0,0,0,0,0
Granit Xhaka,9,3,2,1,1,2,1,0,0,3,2,1,-2,0,0,8,3,3,3,3,5,3,1,1,5,1,2,2,1,2,0,3,2,2,2,0,0,1,3,2,2,-2,0,0,2,0,0,0,0,0
Pablo Marí,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,0,0,0,0,0,0,0,2,2,2,0,1,0,5,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Héctor Bellerín,11,5,2,0,11,2,1,12,1,9,0,1,1,0,0,2,6,0,8,0,1,8,1,2,9,1,0,0,0,0,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calum Chambers,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,6,0,2,1,6,0,2,11,1,0,0,0,0,0,0,0,0,0,0
Sead Kolasinac,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
Rob Holding,16,6,2,1,0,0,0,5,1,6,0,1,2,2,-1,2,9,10,6,6,2,8,1,2,1,2,0,0,0,0,1,8,2,2,0,9,0,2,7,0,0,0,0,0,0,0,0,0,0,0
Kieran Tierney,17,6,0,1,2,2,2,6,1,6,0,1,2,2,0,4,6,18,0,6,0,0,0,0,0,2,1,2,6,1,1,0,0,0,0,7,0,5,6,1,1,0,7,6,2,6,1,0,0,0
Nicolas Pépé,18,1,1,1,6,2,1,0,1,-2,0,0,0,2,8,1,0,0,1,0,6,3,7,2,0,2,12,1,1,4,2,6,1,3,1,9,0,15,16,2,2,0,6,3,0,1,5,0,1,0
Lucas Torreira,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,21,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Edward Nketiah,22,1,8,1,1,1,1,1,1,0,0,1,1,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile Smith Rowe,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,3,6,2,3,2,2,5,1,1,0,2,1,0,0,2,2,0,19,0,2,3,2,2,2,1,3,12,3,2,13,9,8
Bukayo Saka,24,0,2,0,8,2,3,3,0,1,2,2,2,2,2,13,6,8,3,9,13,0,2,2,5,2,0,1,1,2,0,3,2,2,0,8,0,2,1,1,2,1,3,6,13,3,0,2,6,3
Matteo Guendouzi,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Teodoro Martinelli Silva,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,8,2,1,6,1,0,6,1,2,2,0,0,0,0,0,4,1,0,1
