player id,position,team,average points,arima for gw7,select percentage,ict index,top players select %,win,draw,lose,Column1,gw7 points
5,DEF,1,0.166666667,0,0.183098077,0,0,2.34,3.31,3.29,,0
8,DEF,1,0.166666667,0,0.122275419,0,0.000125031,2.34,3.31,3.29,,0
9,DEF,1,0,0,0.2727152,0,0.000125031,2.34,3.31,3.29,,0
10,DEF,1,0.166666667,0,0.223793144,0,0.000375094,2.34,3.31,3.29,,0
11,DEF,1,-0.166666667,1,0.094467718,0,0,2.34,3.31,3.29,,0
14,DEF,1,0,0,0.707794562,0,0.000250063,2.34,3.31,3.29,,0
16,DEF,1,2.833333333,1,6.693702394,1.1,0.104151038,2.34,3.31,3.29,,6
23,DEF,1,2.833333333,1,0.535479547,2.3,0.000875219,2.34,3.31,3.29,,6
24,DEF,1,0,0,0.000677657,0,0,2.34,3.31,3.29,,0
27,DEF,1,0,0,0.002651183,0,0,2.34,3.31,3.29,,0
31,DEF,2,0,0,0.00055877,0,0,3.74,3.44,2.1,,0
36,DEF,2,2.666666667,1,0.322243581,1.6,0.000250063,3.74,3.44,2.1,,1
38,DEF,2,4.666666667,0,7.533473565,2.8,0.007251813,3.74,3.44,2.1,,1
39,DEF,2,2.333333333,1,2.787308893,8.2,0.002125531,3.74,3.44,2.1,,2
44,DEF,2,4.833333333,0,3.627056287,3.5,0.009377344,3.74,3.44,2.1,,1
45,DEF,2,3.666666667,1,0.726840281,4,0.000500125,3.74,3.44,2.1,,1
46,DEF,2,0,0,0.017084081,0,0,3.74,3.44,2.1,,0
52,DEF,2,1.666666667,0,0.631552242,0,0.000375094,3.74,3.44,2.1,,0
56,DEF,4,4.833333333,0,22.82145566,2.1,0.404851213,3.29,3.31,2.34,,6
58,DEF,4,0.333333333,1,0.032289746,3.8,0,3.29,3.31,2.34,,6
59,DEF,4,3.5,1,4.200294388,5.6,0.020130033,3.29,3.31,2.34,,8
61,DEF,4,1.5,0,0.251042075,0,0.000750188,3.29,3.31,2.34,,0
62,DEF,4,2.5,1,1.300946258,2.2,0.061265316,3.29,3.31,2.34,,5
67,DEF,1,2.5,1,11.95814364,4.3,0.308327082,2.34,3.31,3.29,,7
68,DEF,4,0,0,0.007252115,0,0,3.29,3.31,2.34,,0
71,DEF,4,0,0,0.363533083,0,0.000500125,3.29,3.31,2.34,,0
76,DEF,3,5.5,0,8.077275211,3.1,0.006751688,4.88,3.72,1.78,,5
83,DEF,3,3.666666667,0,1.056526196,4.7,0.002500625,4.88,3.72,1.78,,2
87,DEF,3,0,0,2.063987672,0,0.003125781,4.88,3.72,1.78,,0
89,DEF,3,0.333333333,0,0.052048788,0,0,4.88,3.72,1.78,,0
90,DEF,3,0.166666667,0,0.048743726,0,0,4.88,3.72,1.78,,0
91,DEF,3,6,0,5.908405309,5.4,0.004751188,4.88,3.72,1.78,,2
98,DEF,5,2,1,1.437238471,3,0.004876219,1.97,3.58,4.05,,5
99,DEF,5,0,0,0.67491038,0,0.000750188,1.97,3.58,4.05,,0
100,DEF,5,0.166666667,0,0.11283578,0,0.000125031,1.97,3.58,4.05,,0
103,DEF,5,0,0,0.094182389,0,0,1.97,3.58,4.05,,0
106,DEF,5,2.166666667,0,1.124981409,0,0.00500125,1.97,3.58,4.05,,0
110,DEF,5,2,1,1.731008583,3.4,0.010002501,1.97,3.58,4.05,,5
113,DEF,5,1.333333333,1,0.414678329,6.8,0.003250813,1.97,3.58,4.05,,9
119,DEF,6,4.333333333,1,5.116997425,7.1,0.239309827,1.43,4.74,8.13,,10
121,DEF,6,4,0,4.052446347,3.2,0.005501375,1.43,4.74,8.13,,1
122,DEF,6,6.5,0,26.63939713,0,0.214178545,1.43,4.74,8.13,,0
127,DEF,6,5.666666667,0,20.35585535,4.4,0.504126032,1.43,4.74,8.13,,2
128,DEF,19,0.5,1,1.227581007,1.9,0.000375094,1.78,3.72,4.88,,0
133,DEF,6,3.666666667,0,3.965967844,0,0.062890723,1.43,4.74,8.13,,0
135,DEF,6,0,1,3.482620306,15.7,0.024756189,1.43,4.74,8.13,,8
139,DEF,6,0,0,0.050348702,0,0,1.43,4.74,8.13,,0
142,DEF,6,3.5,0,5.291713959,0,0.016754189,1.43,4.74,8.13,,0
147,DEF,7,0,0,0.100471518,0,0,2.84,3.29,2.65,,0
150,DEF,7,2.833333333,0,0.81039416,0,0.000375094,2.84,3.29,2.65,,0
151,DEF,7,0,0,0.938185942,0,0.001500375,2.84,3.29,2.65,,0
158,DEF,7,0,0,0.040183852,0,0,2.84,3.29,2.65,,0
161,DEF,7,0,0,0.004363158,0,0,2.84,3.29,2.65,,0
162,DEF,7,2.833333333,0,0.705333598,4.2,0.001250313,2.84,3.29,2.65,,1
165,DEF,8,2.333333333,0,0.423951525,0,0.000500125,6.69,4.24,1.55,,0
168,DEF,8,2.333333333,1,8.594553138,4.8,0.019754939,6.69,4.24,1.55,,2
169,DEF,8,4.5,1,2.866285618,1.5,0.006251563,6.69,4.24,1.55,,2
175,DEF,8,1.666666667,1,0.467416662,1.8,0.000375094,6.69,4.24,1.55,,2
178,DEF,8,1.333333333,0,0.636248283,0,0.000625156,6.69,4.24,1.55,,0
179,DEF,8,1.333333333,1,0.531603827,3.6,0.000375094,6.69,4.24,1.55,,2
184,DEF,10,1.166666667,1,0.440215286,1.9,0.000750188,1.76,3.95,4.7,,7
185,DEF,10,2,0,7.230263814,0,0.142035509,1.76,3.95,4.7,,0
190,DEF,10,0.333333333,1,0.082293675,7.7,0.000125031,1.76,3.95,4.7,,15
194,DEF,10,0,0,0.119707457,0,0,1.76,3.95,4.7,,0
198,DEF,10,-0.166666667,1,0.204343209,0,0.000125031,1.76,3.95,4.7,,1
201,DEF,9,0.166666667,0,0.136815316,0,0,2.65,3.29,2.84,,0
207,DEF,9,2.666666667,0,3.453611845,0,0.0060015,2.65,3.29,2.84,,0
208,DEF,9,1.333333333,0,12.17871495,0,0.112153038,2.65,3.29,2.84,,0
209,DEF,9,1,0,0.650633627,2.8,0.000625156,2.65,3.29,2.84,,1
217,DEF,9,1.833333333,0,2.304175352,2,0.00100025,2.65,3.29,2.84,,1
218,DEF,9,0,0,0.020198924,0,0,2.65,3.29,2.84,,0
219,DEF,9,1.5,0,0.770959297,0,0.000875219,2.65,3.29,2.84,,0
220,DEF,9,0,0,0.316025784,0,0,2.65,3.29,2.84,,0
224,DEF,11,3.5,0,3.321825455,4.3,0.014003501,3.03,3.61,2.36,,1
229,DEF,11,5.666666667,0,16.63431946,2.1,0.023005751,3.03,3.61,2.36,,1
234,DEF,11,2,1,1.910076386,2.2,0.006626657,3.03,3.61,2.36,,1
237,DEF,11,5.833333333,0,23.21998911,0,0.559764941,3.03,3.61,2.36,,0
238,DEF,11,0.166666667,1,0.50800473,0.2,0,3.03,3.61,2.36,,1
241,DEF,11,0,0,0.184441502,0,0,3.03,3.61,2.36,,0
243,DEF,11,1,0,1.190000783,0,0.000250063,3.03,3.61,2.36,,0
245,DEF,11,3.833333333,0,17.51132608,0,0.096274069,3.03,3.61,2.36,,0
246,DEF,11,0,0,0.754457762,0,0.001125281,3.03,3.61,2.36,,0
247,DEF,11,0,0,0.032361078,0,0,3.03,3.61,2.36,,0
248,DEF,11,0,0,0.159356317,0,0,3.03,3.61,2.36,,0
248,DEF,17,0,0,0.227549977,0,0.006376594,2.1,3.44,3.74,,0
249,DEF,12,4.333333333,1,6.489810956,0.7,0.001250313,2.36,3.61,3.03,,1
252,DEF,12,0,0,3.161232712,0,0,2.36,3.61,3.03,,0
253,DEF,12,0.5,0,0.406118455,0,0.000875219,2.36,3.61,3.03,,0
256,DEF,12,7.333333333,0,14.99755271,4.7,0.013003251,2.36,3.61,3.03,,0
258,DEF,12,1.333333333,0,0.455599281,0,0.003625906,2.36,3.61,3.03,,0
259,DEF,12,5,0,3.334320493,1.9,0.000125031,2.36,3.61,3.03,,1
262,DEF,12,6.5,0,27.39214292,1.2,0.008002001,2.36,3.61,3.03,,0
264,DEF,12,0.333333333,0,0.766346476,0,0.001500375,2.36,3.61,3.03,,0
273,DEF,13,3.5,1,6.781559987,0,0.000125031,1.55,4.24,6.69,,0
275,DEF,13,3,0,28.31813104,5.7,0.000125031,1.55,4.24,6.69,,2
279,DEF,13,0,0,0.116188398,0,0.000125031,1.55,4.24,6.69,,0
