player id,position,team,gw1 points,gw2 points,gw3 points,gw4 points,gw5 points,gw6 points,select percentage,ict index,top players select %,win,draw,lose,gw7 points
1,GK,1,1,2,1,0,0,0,1.247744265,0,0.000875219,2.34,3.31,3.29,0
2,GK,1,0,0,0,0,0,0,0.922992166,0,0.002875719,2.34,3.31,3.29,0
3,MID,1,0,0,0,0,0,0,0.092113753,0,0,2.34,3.31,3.29,0
4,FWD,1,0,1,1,9,2,7,2.224770634,4,0.007376844,2.34,3.31,3.29,2
5,DEF,1,0,1,-1,1,0,0,0.183098077,0,0,2.34,3.31,3.29,0
6,FWD,1,0,0,1,0,0,0,0.95714844,0.3,0,2.34,3.31,3.29,1
7,MID,1,2,2,-2,0,0,2,0.376907886,0,0.000125031,2.34,3.31,3.29,0
8,DEF,1,1,0,0,0,0,0,0.122275419,0,0.000125031,2.34,3.31,3.29,0
9,DEF,1,0,0,0,0,0,0,0.2727152,0,0.000125031,2.34,3.31,3.29,0
10,DEF,1,1,0,0,0,0,0,0.223793144,0,0.000375094,2.34,3.31,3.29,0
11,DEF,1,0,0,-1,0,0,0,0.094467718,0,0,2.34,3.31,3.29,0
12,MID,1,0,0,1,0,0,0,0.367373138,0,0.000625156,2.34,3.31,3.29,0
13,MID,1,0,0,1,3,1,1,0.058349806,0,0,2.34,3.31,3.29,1
14,DEF,1,0,0,0,0,0,0,0.707794562,0,0.000250063,2.34,3.31,3.29,0
15,MID,1,0,0,0,0,3,2,0.179044026,2.3,0.000125031,2.34,3.31,3.29,2
16,DEF,1,1,1,0,7,6,2,6.693702394,1.1,0.104151038,2.34,3.31,3.29,6
17,MID,1,2,2,0,6,3,0,1.167126899,1.3,0.002375594,2.34,3.31,3.29,1
18,MID,1,0,0,0,0,0,0,0.182729527,0,0.000625156,2.34,3.31,3.29,0
19,MID,14,0,2,2,2,2,2,0.773289485,0.2,0.000250063,2.34,3.31,3.29,1
20,FWD,1,0,0,0,0,0,0,0.098474214,0,0,2.34,3.31,3.29,0
21,MID,1,2,2,2,1,3,12,5.071356653,5.9,0.03875969,2.34,3.31,3.29,3
22,MID,1,1,2,1,3,6,13,10.83714495,4.8,0.133283321,2.34,3.31,3.29,3
23,DEF,1,0,0,0,8,7,2,0.535479547,2.3,0.000875219,2.34,3.31,3.29,6
24,DEF,1,0,0,0,0,0,0,0.000677657,0,0,2.34,3.31,3.29,0
25,MID,1,0,0,0,0,0,0,0.001343425,0,0,2.34,3.31,3.29,0
26,MID,1,2,2,0,0,0,0,0.178092929,0,0,2.34,3.31,3.29,0
27,DEF,1,0,0,0,0,0,0,0.002651183,0,0,2.34,3.31,3.29,0
28,GK,2,0,0,0,1,0,0,3.610412088,0,0.061140285,2.34,3.31,3.29,0
29,MID,2,0,0,0,0,0,0,0.019580711,0,0,2.34,3.31,3.29,0
30,GK,2,2,5,2,0,8,9,14.15104064,4.6,0.016379095,2.34,3.31,3.29,4
31,DEF,2,0,0,0,0,0,0,0.00055877,0,0,2.34,3.31,3.29,0
32,MID,2,4,0,0,1,1,0,0.435222026,0.2,0.000250063,2.34,3.31,3.29,1
33,MID,12,1,8,6,3,3,3,17.53104946,2.5,0.022005501,2.34,3.31,3.29,2
34,MID,2,0,0,0,0,0,0,0.011567718,0,0,2.34,3.31,3.29,0
35,MID,2,7,3,0,1,1,2,0.685978772,3.9,0.000375094,2.34,3.31,3.29,2
36,DEF,2,0,0,1,0,0,15,0.322243581,1.6,0.000250063,2.34,3.31,3.29,1
37,MID,2,0,0,0,0,0,0,0.00970119,0,0,3.74,3.44,2.1,0
38,DEF,2,0,15,0,0,6,7,7.533473565,2.8,0.007251813,3.74,3.44,2.1,1
39,DEF,2,0,0,2,0,6,6,2.787308893,8.2,0.002125531,3.74,3.44,2.1,2
40,FWD,2,0,0,1,2,2,2,1.496693927,8.2,0.001875469,3.74,3.44,2.1,6
41,MID,2,2,0,1,1,1,0,0.226551326,0,0.000125031,3.74,3.44,2.1,0
42,MID,2,1,9,1,0,0,0,0.606157949,0,0.000500125,3.74,3.44,2.1,0
43,MID,2,2,2,10,0,0,1,1.359284176,0.2,0.0020005,3.74,3.44,2.1,1
44,DEF,2,1,6,1,1,15,5,3.627056287,3.5,0.009377344,3.74,3.44,2.1,1
45,DEF,2,1,6,2,1,6,6,0.726840281,4,0.000500125,3.74,3.44,2.1,1
46,DEF,2,0,0,0,0,0,0,0.017084081,0,0,3.74,3.44,2.1,0
47,FWD,2,0,1,0,0,0,0,0.141594578,0,0,3.74,3.44,2.1,0
48,FWD,2,0,0,0,0,0,0,0.000820321,0,0,3.74,3.44,2.1,0
49,FWD,2,0,0,0,0,0,0,1.260013418,0,0.003750938,3.74,3.44,2.1,0
50,MID,2,0,2,2,2,6,7,3.143684971,5.4,0.033508377,3.74,3.44,2.1,2
51,MID,2,1,3,0,0,3,3,0.506411643,4.6,0.00100025,3.74,3.44,2.1,1
52,DEF,2,1,6,2,0,1,0,0.631552242,0,0.000375094,3.74,3.44,2.1,0
53,MID,4,1,3,1,3,2,1,0.207731492,4.6,0.000125031,3.74,3.44,2.1,3
54,GK,4,0,0,0,0,0,0,3.286004761,0,0.285696424,3.74,3.44,2.1,0
55,MID,4,6,6,2,0,0,2,0.380783607,8.1,0.000625156,3.74,3.44,2.1,3
56,DEF,4,2,14,1,5,5,2,22.82145566,2.1,0.404851213,3.74,3.44,2.1,6
57,MID,4,0,0,0,0,0,0,0.000570658,0,0,3.74,3.44,2.1,0
58,DEF,4,0,0,0,0,1,1,0.032289746,3.8,0,3.74,3.44,2.1,6
59,DEF,4,2,6,1,8,2,2,4.200294388,5.6,0.020130033,3.74,3.44,2.1,8
60,MID,4,2,2,0,1,2,0,0.056804273,3.9,0,3.74,3.44,2.1,1
61,DEF,4,2,5,1,1,0,0,0.251042075,0,0.000750188,3.74,3.44,2.1,0
62,DEF,4,0,0,1,6,1,7,1.300946258,2.2,0.061265316,3.74,3.44,2.1,5
63,FWD,4,5,6,2,2,7,9,3.172657766,3.5,0.01387847,3.74,3.44,2.1,1
64,MID,4,2,3,2,11,5,1,1.205955437,11.4,0.002125531,3.74,3.44,2.1,3
65,GK,4,0,0,0,0,0,0,0.008904646,0,0,3.74,3.44,2.1,0
66,MID,4,0,0,0,0,0,0,0.001367202,0,0,3.74,3.44,2.1,0
67,DEF,1,1,0,0,5,7,2,11.95814364,4.3,0.308327082,3.74,3.44,2.1,7
68,DEF,4,0,0,0,0,0,0,0.007252115,0,0,3.74,3.44,2.1,0
69,GK,4,2,6,2,6,1,2,23.95330874,2.1,0.74456114,3.74,3.44,2.1,6
70,MID,4,2,8,1,3,2,0,14.0477396,0,0.092648162,4.88,3.72,1.78,0
71,DEF,4,0,0,0,0,0,0,0.363533083,0,0.000500125,4.88,3.72,1.78,0
72,FWD,4,0,1,0,0,0,1,0.115677183,0,0.000250063,4.88,3.72,1.78,0
73,MID,4,2,0,0,0,0,1,0.041919604,0,0,4.88,3.72,1.78,0
74,MID,4,9,3,1,4,0,0,0.459510668,1.4,0.000250063,4.88,3.72,1.78,1
75,MID,4,4,1,2,1,1,1,0.795176606,3,0.001125281,4.88,3.72,1.78,3
76,DEF,3,6,9,7,2,5,4,8.077275211,3.1,0.006751688,4.88,3.72,1.78,5
77,MID,3,8,2,1,2,3,2,1.027624734,1.6,0.000375094,4.88,3.72,1.78,1
78,FWD,3,2,2,6,2,12,5,14.68392844,6.4,0.100650163,4.88,3.72,1.78,2
79,MID,3,0,0,0,0,0,0,0.040219518,0,0,4.88,3.72,1.78,0
80,GK,3,8,6,3,2,6,2,9.846922113,2.6,0.018379595,4.88,3.72,1.78,3
81,MID,3,11,3,2,2,3,2,2.149610187,4.3,0.000750188,4.88,3.72,1.78,4
82,MID,3,0,0,0,0,0,0,0.0097963,0,0,4.88,3.72,1.78,0
83,DEF,3,6,6,2,2,5,1,1.056526196,4.7,0.002500625,4.88,3.72,1.78,2
84,MID,3,3,3,1,3,3,10,0.350300945,0,0.000750188,4.88,3.72,1.78,0
85,MID,3,0,1,2,0,0,0,0.038507543,0,0.000125031,4.88,3.72,1.78,0
86,MID,3,0,0,1,1,0,0,0.02966234,4.9,0.000125031,4.88,3.72,1.78,2
87,DEF,3,0,0,0,0,0,0,2.063987672,0,0.003125781,4.88,3.72,1.78,0
88,FWD,3,1,0,0,0,0,0,0.102635264,0,0,4.88,3.72,1.78,0
89,DEF,3,0,0,0,1,1,0,0.052048788,0,0,4.88,3.72,1.78,0
90,DEF,3,1,0,0,0,0,0,0.048743726,0,0,4.88,3.72,1.78,0
91,DEF,3,11,6,2,2,8,7,5.908405309,5.4,0.004751188,4.88,3.72,1.78,2
92,GK,3,0,0,0,0,0,0,0.010141073,0,0,4.88,3.72,1.78,0
93,MID,3,0,0,0,0,0,0,0.848152714,0,0.000875219,4.88,3.72,1.78,0
94,GK,3,0,0,0,0,0,0,0.887266581,0,0.004001,4.88,3.72,1.78,0
95,FWD,3,0,0,0,0,0,0,0.017298078,0,0,4.88,3.72,1.78,0
96,MID,3,3,3,2,1,8,2,0.97951111,9.3,0.026006502,4.88,3.72,1.78,8
97,MID,3,1,1,0,0,0,0,0.077217195,0,0.000125031,4.88,3.72,1.78,1
98,DEF,5,6,1,2,1,2,0,1.437238471,3,0.004876219,4.88,3.72,1.78,5
99,DEF,5,0,0,0,0,0,0,0.67491038,0,0.000750188,4.88,3.72,1.78,0
100,DEF,5,0,1,0,0,0,0,0.11283578,0,0.000125031,3.29,3.31,2.34,0
101,MID,5,2,2,0,0,0,0,0.155314154,0,0.000125031,3.29,3.31,2.34,0
102,MID,5,0,0,0,0,0,0,0.018534504,0,0,3.29,3.31,2.34,0
103,DEF,5,0,0,0,0,0,0,0.094182389,0,0,3.29,3.31,2.34,0
104,FWD,5,2,1,0,1,1,0,0.545834617,4.8,0.000125031,3.29,3.31,2.34,0
105,FWD,5,1,2,1,2,0,1,1.284313948,0.3,0.000625156,3.29,3.31,2.34,1
106,DEF,5,1,1,1,7,2,1,1.124981409,0,0.00500125,3.29,3.31,2.34,0
107,MID,5,7,0,2,2,1,4,0.448038059,5.9,0.000125031,3.29,3.31,2.34,3
108,MID,5,1,2,3,5,1,0,0.082638448,3,0,3.29,3.31,2.34,1
109,FWD,5,2,2,9,2,2,2,1.770372113,4.5,0.009127282,3.29,3.31,2.34,1
110,DEF,5,1,1,6,1,2,1,1.731008583,3.4,0.010002501,3.29,3.31,2.34,5
111,FWD,5,1,0,1,1,1,5,0.344665695,2.6,0.000125031,3.29,3.31,2.34,1
112,GK,5,2,3,2,2,2,1,2.986266515,0.8,0.003125781,3.29,3.31,2.34,6
113,DEF,5,1,1,2,1,2,1,0.414678329,6.8,0.003250813,3.29,3.31,2.34,9
114,GK,5,0,0,0,0,0,0,0.118471031,0,0.000125031,3.29,3.31,2.34,0
115,MID,5,1,2,1,1,2,2,2.880397521,9.7,0.24256064,3.29,3.31,2.34,2
116,MID,5,0,0,0,0,0,0,0.002639294,0,0,3.29,3.31,2.34,0
